<node>	<property>	<enum_value>	<enum_def>	<deprecated>
case	age_at_index_gt89	Yes		
case	age_at_index_gt89	No		
case	covid19_positive	Yes		
case	covid19_positive	No		
case	covid19_positive	Not Reported		
case	ethnicity	Hispanic or Latino		
case	ethnicity	Not Hispanic or Latino		
case	ethnicity	Not Reported		
case	race	American Indian or Alaska Native		
case	race	Asian		
case	race	Black or African American		
case	race	Native Hawaiian or other Pacific Islander		
case	race	Other		
case	race	White		
case	race	Not Reported		
case	sex	Female		
case	sex	Male		
case	sex	Not Reported		
cr_series_file	detector_type	DIRECT		
cr_series_file	detector_type	SCINTILLATOR		
cr_series_file	detector_type	STORAGE		
cr_series_file	detector_type	FILM		
cr_series_file	lossy_image_compression	00		
cr_series_file	lossy_image_compression	01		
cr_series_file	data_category	CR		
cr_series_file	data_format	DCM		
cr_series_file	data_format	nii.gz		
cr_series_file	data_type	DICOM		
cr_series_file	data_type	NIfTI		
ct_series_file	acquisition_type	SEQUENCED		
ct_series_file	acquisition_type	SPIRAL		
ct_series_file	acquisition_type	CONSTANT_ANGLE		
ct_series_file	acquisition_type	STATIONARY		
ct_series_file	acquisition_type	FREE		
ct_series_file	lossy_image_compression	00		
ct_series_file	lossy_image_compression	01		
ct_series_file	data_category	CT		
ct_series_file	data_format	DCM		
ct_series_file	data_format	nii.gz		
ct_series_file	data_type	DICOM		
ct_series_file	data_type	NIfTI		
dataset	type	dataset		
dx_series_file	detector_type	DIRECT		
dx_series_file	detector_type	SCINTILLATOR		
dx_series_file	detector_type	STORAGE		
dx_series_file	detector_type	FILM		
dx_series_file	lossy_image_compression	00		
dx_series_file	lossy_image_compression	01		
dx_series_file	data_category	DX		
dx_series_file	data_format	DCM		
dx_series_file	data_format	nii.gz		
dx_series_file	data_type	DICOM		
dx_series_file	data_type	NIfTI		
imaging_study	midrc_harmonized_study_description	TBD		
imaging_study	age_at_imaging_gt89	Yes		
imaging_study	age_at_imaging_gt89	No		
measurement	test_name	COVID-19		
measurement	test_result_text	Negative		
measurement	test_result_text	Positive		
